,precision,recall,f1-score,support
0,0.8889837745516652,0.9267337309712455,0.9074663295994421,11233.0
1,0.7203533809038396,0.6198830409356725,0.6663523495206662,3420.0
accuracy,0.855114993516686,0.855114993516686,0.855114993516686,0.855114993516686
macro avg,0.8046685777277525,0.773308385953459,0.7869093395600542,14653.0
weighted avg,0.8496255580584172,0.855114993516686,0.8511904944892658,14653.0
