,precision,recall,f1-score,support
0,0.6873906095426527,0.8398103384157679,0.7559944762940954,10756.0
1,0.6001392434439545,0.3863161039737078,0.47005362173952564,6694.0
accuracy,0.6658452722063037,0.6658452722063037,0.6658452722063037,0.6658452722063037
macro avg,0.6437649264933036,0.6130632211947379,0.6130240490168105,17450.0
weighted avg,0.6539200854931005,0.6658452722063037,0.6463046149537922,17450.0
