,precision,recall,f1-score,support
0,0.7112565228195146,0.7983451097062105,0.7522887555302467,10756.0
1,0.5966152129440209,0.47923513594263517,0.5315218291773672,6694.0
accuracy,0.6759312320916906,0.6759312320916906,0.6759312320916906,0.6759312320916906
macro avg,0.6539358678817677,0.6387901228244228,0.6419052923538069,17450.0
weighted avg,0.6672789338048123,0.6759312320916906,0.6676002853293197,17450.0
