,precision,recall,f1-score,support
0,0.895474879559532,0.9266447075580878,0.9107931924574529,11233.0
1,0.7279630241003632,0.6447368421052632,0.6838269499147155,3420.0
accuracy,0.8608476079983621,0.8608476079983621,0.8608476079983621,0.8608476079983621
macro avg,0.8117189518299476,0.7856907748316755,0.7973100711860842,14653.0
weighted avg,0.8563777291008985,0.8608476079983621,0.8578194294399029,14653.0
