,precision,recall,f1-score,support
0,0.8851271686036719,0.9356360722870115,0.9096810490327607,11233.0
1,0.7398344728319539,0.6011695906432749,0.6633327956121955,3420.0
accuracy,0.8575718282945471,0.8575718282945471,0.8575718282945471,0.8575718282945471
macro avg,0.8124808207178129,0.7684028314651432,0.7865069223224781,14653.0
weighted avg,0.8512159545492615,0.8575718282945471,0.852183538168205,14653.0
