,precision,recall,f1-score,support
0,0.8877645669955309,0.9372384937238494,0.9118309371210808,11233.0
1,0.7476735862562635,0.6108187134502924,0.6723527518506598,3420.0
accuracy,0.8610523442298506,0.8610523442298506,0.8610523442298506,0.8610523442298506
macro avg,0.8177190766258972,0.7740286035870709,0.7920918444858702,14653.0
weighted avg,0.855067429608764,0.8610523442298506,0.8559368953804926,14653.0
