,precision,recall,f1-score,support
0,0.7195428175599619,0.7725920416511715,0.7451244115669132,10756.0
1,0.5854939840704966,0.5161338512100389,0.5486304088924175,6694.0
accuracy,0.6742120343839542,0.6742120343839542,0.6742120343839542,0.6742120343839542
macro avg,0.6525184008152292,0.6443629464306051,0.6468774102296654,17450.0
weighted avg,0.6681203022947194,0.6742120343839542,0.6697472852687428,17450.0
