,precision,recall,f1-score,support
0,0.7194206482380995,0.7573447378207512,0.7378957380316139,10756.0
1,0.5740166476252653,0.5253958769046908,0.5486311520162235,6694.0
accuracy,0.6683667621776505,0.6683667621776505,0.6683667621776505,0.6683667621776505
macro avg,0.6467186479316824,0.641370307362721,0.6432634450239187,17450.0
weighted avg,0.6636421737336691,0.6683667621776505,0.6652918905366555,17450.0
