,precision,recall,f1-score,support
0,0.718048359240069,0.7730568984752696,0.7445379656160459,10756.0
1,0.5841567291311754,0.5122497759187332,0.5458452722063037,6694.0
accuracy,0.6730085959885387,0.6730085959885387,0.6730085959885387,0.6730085959885387
macro avg,0.6511025441856222,0.6426533371970014,0.6451916189111748,17450.0
weighted avg,0.6666861488131961,0.6730085959885387,0.6683173988719305,17450.0
