,precision,recall,f1-score,support
0,0.899889521543299,0.9426689219264667,0.9207826086956521,11233.0
1,0.7768537768537769,0.6555555555555556,0.7110688233428482,3420.0
accuracy,0.8756568620760253,0.8756568620760253,0.8756568620760253,0.8756568620760253
macro avg,0.838371649198538,0.7991122387410111,0.8159257160192501,14653.0
weighted avg,0.8711730643783385,0.8756568620760253,0.871835557176742,14653.0
